# step Etot Epot T p 
475 -7815.42 -7815.42 0.0 322.5226 
476 -7815.42 -7815.42 0.0 322.5227 
477 -7824.3519 -7824.3519 0.0 325.1775 
478 -7795.4631 -7795.4631 0.0 327.976 
479 -7825.6582 -7825.6582 0.0 324.4734 
480 -7825.6479 -7825.6479 0.0 324.5432 
481 -7825.6583 -7825.6583 0.0 324.4804 
482 -7831.8447 -7831.8447 0.0 325.2884 
483 -7797.6142 -7797.6142 0.0 325.8471 
484 -7834.2521 -7834.2521 0.0 325.0455 
485 -7834.2314 -7834.2314 0.0 325.0711 
486 -7834.2525 -7834.2525 0.0 325.0479 
487 -7834.2525 -7834.2525 0.0 325.0474 
488 -7834.2525 -7834.2525 0.0 325.0479 
489 -7843.9866 -7843.9866 0.0 326.0624 
490 -7822.5675 -7822.5675 0.0 326.9543 
491 -7844.5204 -7844.5204 0.0 325.886 
492 -7844.5161 -7844.5161 0.0 325.9039 
493 -7844.5204 -7844.5204 0.0 325.8879 
494 -7854.1741 -7854.1741 0.0 325.7261 
495 -7833.9622 -7833.9622 0.0 325.2941 
496 -7854.6311 -7854.6311 0.0 325.776 
497 -7854.6279 -7854.6279 0.0 325.7711 
498 -7854.6312 -7854.6312 0.0 325.7755 
499 -7712.0625 -7712.0625 0.0 313.9143 
500 -7862.7734 -7862.7734 0.0 324.9632 
501 -7788.6065 -7788.6065 0.0 330.3712 
502 -7877.5768 -7877.5768 0.0 327.2425 
503 -7877.4375 -7877.4375 0.0 327.0395 
504 -7877.5762 -7877.5762 0.0 327.2225 
505 -7877.577 -7877.577 0.0 327.2358 
506 -7847.1616 -7847.1616 0.0 315.7655 
507 -7893.2826 -7893.2826 0.0 323.2458 
508 -7869.9658 -7869.9658 0.0 325.4783 
509 -7907.6273 -7907.6273 0.0 324.371 
510 -7873.6289 -7873.6289 0.0 313.2531 
511 -7918.5885 -7918.5885 0.0 321.1735 
512 -7890.9454 -7890.9454 0.0 315.9353 
513 -7929.0514 -7929.0514 0.0 319.8188 
514 -7928.6764 -7928.6764 0.0 319.5071 
515 -7929.0484 -7929.0484 0.0 319.7883 
516 -7929.0515 -7929.0515 0.0 319.8158 
517 -7902.8229 -7902.8229 0.0 327.7897 
518 -7939.1073 -7939.1073 0.0 323.0335 
519 -7910.7314 -7910.7314 0.0 324.3211 
