ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:    3720        59.4996       212.4935       670.9268        10.5914         -10528.6979       677.9488         0.0000         0.0000         0.0000          -8897.2378         0.0000     -8897.2378     -8897.2378         0.0000            464.6777       464.2368   1000000.0000       464.6777       464.2368
ENERGY:    3721        58.4151       211.3201       670.8697        10.4882         -10526.0028       675.2830         0.0000         0.0000         0.0000          -8899.6267         0.0000     -8899.6267     -8899.6267         0.0000            462.9946       462.5546   1000000.0000       462.9946       462.5546
ENERGY:    3722        58.4259       211.3418       670.8697        10.4899         -10526.1022       675.3498         0.0000         0.0000         0.0000          -8899.6251         0.0000     -8899.6251     -8899.6251         0.0000            463.0504       462.6093   1000000.0000       463.0504       462.6093
ENERGY:    3723        58.4161       211.3223       670.8697        10.4883         -10526.0128       675.2896         0.0000         0.0000         0.0000          -8899.6268         0.0000     -8899.6268     -8899.6268         0.0000            463.0002       462.5601   1000000.0000       463.0002       462.5601
ENERGY:    3724        58.4160       211.3220       670.8697        10.4883         -10526.0114       675.2887         0.0000         0.0000         0.0000          -8899.6268         0.0000     -8899.6268     -8899.6268         0.0000            462.9994       462.5594   1000000.0000       462.9994       462.5594
ENERGY:    3725        58.4159       211.3218       670.8697        10.4883         -10526.0105       675.2881         0.0000         0.0000         0.0000          -8899.6268         0.0000     -8899.6268     -8899.6268         0.0000            462.9990       462.5589   1000000.0000       462.9990       462.5589
ENERGY:    3726        58.4160       211.3220       670.8697        10.4883         -10526.0114       675.2887         0.0000         0.0000         0.0000          -8899.6268         0.0000     -8899.6268     -8899.6268         0.0000            462.9994       462.5594   1000000.0000       462.9994       462.5594
ENERGY:    3727        58.6171       211.4399       670.7252        10.5464         -10528.2291       676.9937         0.0000         0.0000         0.0000          -8899.9067         0.0000     -8899.9067     -8899.9067         0.0000            463.6755       463.0018   1000000.0000       463.6755       463.0018
ENERGY:    3728        59.7204       212.0561       670.6555        10.6565         -10529.7523       679.1685         0.0000         0.0000         0.0000          -8897.4953         0.0000     -8897.4953     -8897.4953         0.0000            464.1353       463.2799   1000000.0000       464.1353       463.2799
ENERGY:    3729        58.4307       211.3331       670.7739        10.5173         -10527.4338       676.2682         0.0000         0.0000         0.0000          -8900.1106         0.0000     -8900.1106     -8900.1106         0.0000            463.4364       462.8489   1000000.0000       463.4364       462.8489
ENERGY:    3730        58.4431       211.3402       670.7685        10.5199         -10527.5178       676.3376         0.0000         0.0000         0.0000          -8900.1086         0.0000     -8900.1086     -8900.1086         0.0000            463.4620       462.8656   1000000.0000       463.4620       462.8656
ENERGY:    3731        58.4319       211.3338       670.7733        10.5176         -10527.4421       676.2751         0.0000         0.0000         0.0000          -8900.1105         0.0000     -8900.1105     -8900.1105         0.0000            463.4390       462.8506   1000000.0000       463.4390       462.8506
ENERGY:    3732        58.4308       211.3331       670.7738        10.5173         -10527.4346       676.2689         0.0000         0.0000         0.0000          -8900.1106         0.0000     -8900.1106     -8900.1106         0.0000            463.4367       462.8491   1000000.0000       463.4367       462.8491
